label,count
CO2 footprint,13.35
Carbohydrate (g),0
Fat (g),4.2
Protein (g),24.5
Fibre (g),0
Water (g),70.3
Alcohol (g),0
Ash (g),1
Monosaccharides (g),0
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),2.02
Fatty acids 4:0-10:0 (g),0.02
Fatty acid 12:0 (g),0.03
Fatty acid 14:0 (g),0.25
Fatty acid 16:0 (g),0.9
Fatty acid 18:0 (g),0.67
Fatty acid 20:0 (g),0.06
Sum of monounsaturated fatty acids (g),1.51
Fatty acid 16:1 (g),0.12
Fatty acid 18:1 (g),1.34
Sum of polyunsaturated fatty acids (g),0.32
Fatty acids 18:2 (g),0.17
Fatty acid 18:3 (g),0.04
Fatty acid 20:4 (g),0.01
EPA (Fatty acid 20:5) (g),0
DPA (Fatty acid 22:5) (g),0
DHA (Fatty acid 22:6) (g),0
Cholesterol (mg),78
Retinol (�g),53
Retinolequivalents (�g),53.6
Beta-carotene (�g),7
Vitamin D (�g),0.4
Vitamin E (mg),0.7
Vitamin K (�g),0
Thiamin (mg),0.18
Riboflavin (mg),0.3
Vitamin C (mg),0
Niacin (mg),4.3
Niacinequivalents (mg),8.79
Vitamin B-6 (mg),0.2
Vitamin B-12 (�g),1.2
Folate (�g),2
Phosphorus (mg),190
Iodide (�g),0
Iron (mg),1.5
Calcium (mg),20
Potassium (mg),220
Magnesium (mg),17
Sodium (mg),66
Salt (g),0.17
Selenium (�g),1.4
Zinc (mg),3.4
Waste (e.g. peel) (%),53
