label,count
Carbohydrate (g),13.1
Fat (g),0.6
Protein (g),6.25
Fibre (g),4.4
Water (g),74.5
Monosaccharides (g),0.01
Disaccharides (g),0.23
Sucrose (g),0.17
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.08
Sum of monounsaturated fatty acids (g),0.12
Sum of polyunsaturated fatty acids (g),0.27
Cholesterol (mg),0
Vitamin D (µg),0
Vitamin E (mg),0.31
Vitamin K (µg),12.6
Vitamin C (mg),0
Vitamin B-6 (mg),0.08
Vitamin B-12 (µg),0
Phosphorus (mg),76.3
Iodide (µg),3.3
Iron (mg),1.36
Potassium (mg),126.6
Magnesium (mg),20.8
Sodium (mg),305.7
Salt (g),0.76
Selenium (µg),17.5
Zinc (mg),0.41
