label,count
Carbohydrate (g),3.12
Fat (g),0.27
Protein (g),3.5
Fibre (g),3.1
Water (g),89.1
Monosaccharides (g),1.65
Disaccharides (g),0.2
Sucrose (g),0.2
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.04
Sum of monounsaturated fatty acids (g),0.01
Sum of polyunsaturated fatty acids (g),0.09
Cholesterol (mg),0
Vitamin D (�g),0
Vitamin E (mg),0.36
Vitamin K (�g),0
Vitamin C (mg),83
Vitamin B-6 (mg),0.21
Vitamin B-12 (�g),0
Phosphorus (mg),81.3
Iodide (�g),0.8
Iron (mg),0.66
Potassium (mg),332
Magnesium (mg),23
Sodium (mg),3.5
Salt (g),0.01
Selenium (�g),0.5
Zinc (mg),0.4
