label,count
Carbohydrate (g),21.1
Fat (g),0.4
Protein (g),1.3
Fibre (g),2.4
Water (g),74
Monosaccharides (g),11.2
Disaccharides (g),0.5
Sucrose (g),0.5
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0
Sum of monounsaturated fatty acids (g),0
Sum of polyunsaturated fatty acids (g),0
Cholesterol (mg),0
Vitamin D (�g),0
Vitamin E (mg),0.1
Vitamin K (�g),0
Vitamin C (mg),9
Vitamin B-6 (mg),0.05
Vitamin B-12 (�g),0
Phosphorus (mg),40
Iodide (�g),0
Iron (mg),0.5
Potassium (mg),113
Magnesium (mg),14
Sodium (mg),1
Salt (g),0
Selenium (�g),1
Zinc (mg),0.1
