label,count
Carbohydrate (g),5
Fat (g),2.1
Protein (g),13.7
Fibre (g),4.8
Water (g),73
Monosaccharides (g),0.8
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.6
Sum of monounsaturated fatty acids (g),0.7
Sum of polyunsaturated fatty acids (g),1.9
Cholesterol (mg),0
Vitamin D (�g),0
Vitamin E (mg),0
Vitamin K (�g),0
Vitamin C (mg),0
Vitamin B-6 (mg),0.08
Vitamin B-12 (�g),0.3
Phosphorus (mg),190
Iodide (�g),0
Iron (mg),0.5
Potassium (mg),128
Magnesium (mg),36.5
Sodium (mg),330
Salt (g),0.83
Selenium (�g),0
Zinc (mg),8
